"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"scid16a",514,1460,0.0438356164383562,0.204799372810216,0,0,0,0,1,1,4.45169275616356,17.8297819817908,0.00535984455301695
"scid16b",515,1460,0.0445205479452055,0.206319229988791,0,0,0,0,1,1,4.41226423588425,17.4800497311375,0.00539962103332628
"scid16c",516,1460,0.0116438356164384,0.107313300567854,0,0,0,0,1,1,9.09526910974906,80.7792498391422,0.00280851743646645
"scid16d",517,1460,0.0356164383561644,0.185395387655317,0,0,0,0,1,1,5.00622476729554,23.0780947419623,0.00485201905183397
"scid16e",518,1460,0.026027397260274,0.159271299194683,0,0,0,0,1,1,5.94768757918864,33.3978641961564,0.00416832040902602
"scid17",519,1459,0.980123372172721,0.139624171700502,1,1,0,0,1,1,-6.87265377204024,45.2643955394771,0.00365538364013694
"scid17a",520,1429,23.4765570328901,9.417356311746,22,23.1021834061135,7.413,0,60,60,0.397772847249229,0.803067578974394,0.249122462518473
"scid18",521,1459,0.986977381768334,0.113410075245002,1,1,0,0,1,1,-8.58201717884904,71.7001636280129,0.00296909430959073
"scid18a",522,1399,26.023588277341,8.75007547839294,24,25.149866190901,7.413,0,62,62,0.923240583924033,0.928739502086065,0.233939168546248
"scid19",523,1457,2.77487989018531,1.43785186901835,4,2.96401028277635,0,0,4,4,-0.694144223562148,-1.02526824840547,0.0376690242226754
"scid20",524,1457,0.678105696636925,1.02107987026379,0,0.464438731790917,0,0,4,4,1.65659180316005,2.20401086318692,0.0267503789472503
"scid21",525,1458,0.254458161865569,0.435705647292941,0,0.193493150684932,0,0,1,1,1.12632659052768,-0.731888982004751,0.0114107562148931
"scid21a",526,1449,6.91787439613527,12.8435450136386,0,4.04823428079242,0,0,59,59,1.62848543161295,1.42000537836787,0.337404382608297
"scid22",527,1456,0.449862637362637,0.497650819859522,0,0.437392795883362,0,0,1,1,0.201357761852757,-1.9608003404591,0.0130419952110242
"scid22a",528,1460,0.183561643835616,0.387258938662128,0,0.104452054794521,0,0,1,1,1.63312753299758,0.667564181847928,0.0101350296366327
"scid22b",529,1460,0.160958904109589,0.367618959624163,0,0.0761986301369863,0,0,1,1,1.84326116535503,1.39857105615909,0.00962102789325064
"scid22c",530,1460,0.0212328767123288,0.144209173391093,0,0,0,0,1,1,6.63535043367827,42.0566827318632,0.00377412656049292
"scid22d",531,1460,0.173972602739726,0.379215812644149,0,0.0924657534246575,0,0,1,1,1.71830435314428,0.953224150360453,0.0099245314081218
"scid23",532,1459,0.332419465387252,0.471241944975737,0,0.290846877673225,0,0,1,1,0.710741802757578,-1.49586995151161,0.0123371911555943
"scid24",533,1459,0.163810829335161,0.37023072533039,0,0.0804106073567151,0,0,1,1,1.81486150823849,1.29461103072985,0.00969270091250162
"scid25",534,1457,0.176389842141386,0.381282367180966,0,0.0959725792630677,0,0,1,1,1.69631789202285,0.878098479358044,0.00998888344097951
"scid26",535,1459,0.211788896504455,0.40871610595568,0,0.140290846877673,0,0,1,1,1.40935754246927,-0.0137193117129542,0.0107002544686572
"scid27",536,1459,0.136394790952707,0.343324979522417,0,0.0461933276304534,0,0,1,1,2.11668835861321,2.4820722311791,0.0089883040888405
"scid28",537,1459,0.237148732008225,0.425480071574087,0,0.171941830624465,0,0,1,1,1.23470464084819,-0.475829174639395,0.0111391378290312
"scid29",538,1458,0.198902606310014,0.399311559389374,0,0.124143835616438,0,0,1,1,1.5070481814384,0.271381765009278,0.0104576263500149
"scid30",539,1456,0.203983516483516,0.403095322353615,0,0.130360205831904,0,0,1,1,1.46770830167356,0.154275031740767,0.0105639678544207
"scrn07",540,1460,0.275342465753425,0.446839736000544,0,0.219178082191781,0,0,1,1,1.00485091694193,-0.990951961869233,0.011694330369329
"scrn08",541,1460,1.14041095890411,0.595974474836855,1,1,0,1,7,6,5.20512090002723,33.4931462322489,0.0155973648691375
